CALCULATOR;BASE;WIDTH;HEIGHT;ITERS;TIME
RefMandelCalculator;512;1536;1024;100;119
RefMandelCalculator;512;1536;1024;100;119
RefMandelCalculator;512;1536;1024;100;119
LineMandelCalculator;512;1536;1024;100;14
LineMandelCalculator;512;1536;1024;100;14
LineMandelCalculator;512;1536;1024;100;14
BatchMandelCalculator;512;1536;1024;100;8
RefMandelCalculator;1024;3072;2048;100;558
BatchMandelCalculator;512;1536;1024;100;8
BatchMandelCalculator;512;1536;1024;100;8
RefMandelCalculator;1024;3072;2048;100;474
RefMandelCalculator;1024;3072;2048;100;474
LineMandelCalculator;1024;3072;2048;100;73
LineMandelCalculator;1024;3072;2048;100;73
LineMandelCalculator;1024;3072;2048;100;73
BatchMandelCalculator;1024;3072;2048;100;29
RefMandelCalculator;2048;6144;4096;100;1888
BatchMandelCalculator;1024;3072;2048;100;29
BatchMandelCalculator;1024;3072;2048;100;29
RefMandelCalculator;2048;6144;4096;100;1889
RefMandelCalculator;2048;6144;4096;100;1890
LineMandelCalculator;2048;6144;4096;100;294
LineMandelCalculator;2048;6144;4096;100;295
LineMandelCalculator;2048;6144;4096;100;299
BatchMandelCalculator;2048;6144;4096;100;111
RefMandelCalculator;4096;12288;8192;100;7536
BatchMandelCalculator;2048;6144;4096;100;112
BatchMandelCalculator;2048;6144;4096;100;113
RefMandelCalculator;4096;12288;8192;100;7531
RefMandelCalculator;4096;12288;8192;100;7535
LineMandelCalculator;4096;12288;8192;100;1204
LineMandelCalculator;4096;12288;8192;100;1190
LineMandelCalculator;4096;12288;8192;100;1186
BatchMandelCalculator;4096;12288;8192;100;431
RefMandelCalculator;512;1536;1024;1000;1041
BatchMandelCalculator;4096;12288;8192;100;430
BatchMandelCalculator;4096;12288;8192;100;448
RefMandelCalculator;512;1536;1024;1000;1041
RefMandelCalculator;512;1536;1024;1000;1041
LineMandelCalculator;512;1536;1024;1000;120
LineMandelCalculator;512;1536;1024;1000;120
BatchMandelCalculator;512;1536;1024;1000;58
LineMandelCalculator;512;1536;1024;1000;120
BatchMandelCalculator;512;1536;1024;1000;59
RefMandelCalculator;1024;3072;2048;1000;4168
BatchMandelCalculator;512;1536;1024;1000;57
RefMandelCalculator;1024;3072;2048;1000;4167
RefMandelCalculator;1024;3072;2048;1000;4168
LineMandelCalculator;1024;3072;2048;1000;632
BatchMandelCalculator;1024;3072;2048;1000;193
LineMandelCalculator;1024;3072;2048;1000;633
LineMandelCalculator;1024;3072;2048;1000;640
BatchMandelCalculator;1024;3072;2048;1000;195
RefMandelCalculator;2048;6144;4096;1000;16664
BatchMandelCalculator;1024;3072;2048;1000;198
RefMandelCalculator;2048;6144;4096;1000;16666
RefMandelCalculator;2048;6144;4096;1000;16670
LineMandelCalculator;2048;6144;4096;1000;2506
BatchMandelCalculator;2048;6144;4096;1000;700
LineMandelCalculator;2048;6144;4096;1000;2545
LineMandelCalculator;2048;6144;4096;1000;2509
BatchMandelCalculator;2048;6144;4096;1000;709
RefMandelCalculator;4096;12288;8192;1000;66648
RefMandelCalculator;4096;12288;8192;1000;66655
BatchMandelCalculator;2048;6144;4096;1000;729
RefMandelCalculator;4096;12288;8192;1000;66677
LineMandelCalculator;4096;12288;8192;1000;10185
BatchMandelCalculator;4096;12288;8192;1000;2612
LineMandelCalculator;4096;12288;8192;1000;10082
LineMandelCalculator;4096;12288;8192;1000;10070
BatchMandelCalculator;4096;12288;8192;1000;2609
BatchMandelCalculator;4096;12288;8192;1000;2618
